"customer_city","customer_state","total_sales"
"palmeira das missoes","RS","328454.88"
"viradouro","SP","327482.76"
"arapongas","PR","323460.47"
"nova era","MG","323210.16"
"sao francisco de itabapoana","RJ","321504.57"
"junqueiropolis","SP","318256.92"
"coxim","MS","317140.02"
"agudos","SP","316879.50"
"tres de maio","RS","315204.75"
"escada","PE","312989.60"
"fazenda rio grande","PR","312402.94"
"catalao","GO","312192.40"
"frederico westphalen","RS","311494.04"
"campo limpo paulista","SP","310944.01"
"bom jardim","RJ","309335.00"
"cajazeiras","PB","309286.95"
"uruacu","GO","309174.18"
"goioere","PR","308932.41"
"guariba","SP","307822.40"
"pariquera-acu","SP","305651.08"
"piuma","ES","305640.06"
"catole do rocha","PB","305001.75"
"campo largo","PR","304410.24"
"barra de sao joao","RJ","303385.66"
"pires do rio","GO","302612.31"
"paraiso do tocantins","TO","302246.10"
"tres lagoas","MS","302126.75"
"pirai","RJ","301811.75"
"buritizeiro","MG","301711.41"
"telemaco borba","PR","300784.41"
"pirajui","SP","300605.76"
"capao bonito","SP","300363.22"
"morrinhos","GO","299583.52"
"porangatu","GO","298458.12"
"vazante","MG","297311.77"
"santo antonio da platina","PR","296609.28"
"itai","SP","295899.00"
"inhumas","GO","295219.08"
"juazeiro do norte","CE","293747.99"
"itatiaia","RJ","293637.24"
"arapiraca","AL","292851.82"
"nova prata","RS","292837.50"
"natividade","RJ","292785.25"
"vilhena","RO","291406.07"
"aracoiaba da serra","SP","291000.96"
"ibate","SP","287729.76"
"garibaldi","RS","287097.50"
"ipira","BA","286179.00"
"rondon do para","PA","285719.16"
"eldorado do sul","RS","285023.36"
"picos","PI","284556.42"
"pontal","SP","283246.44"
"brotas","SP","281913.36"
"teutonia","RS","279411.66"
"sao gabriel da palha","ES","279334.77"
"conceicao do mato dentro","MG","277896.82"
"sao sebastiao do cai","RS","276134.90"
"cesario lange","SP","276132.50"
"palmeira","PR","275587.02"
"guararema","SP","275452.41"
"codo","MA","275266.26"
"teixeira de freitas","BA","274993.34"
"paraguacu","MG","274850.80"
"bandeirantes","PR","274801.45"
"nova odessa","SP","274682.69"
"feliz","RS","274150.05"
"cruz alta","RS","274049.37"
"sacramento","MG","273590.64"
"tiangua","CE","273268.00"
"varzea grande","MT","272709.80"
"miguelopolis","SP","271860.00"
"fartura","SP","271726.89"
"niquelandia","GO","271161.80"
"colider","MT","270843.40"
"salto de pirapora","SP","270540.72"
"conselheiro pena","MG","270429.34"
"ibipora","PR","268850.27"
"flores da cunha","RS","266815.78"
"araripina","PE","265746.60"
"igrejinha","RS","265715.52"
"mirandopolis","SP","265625.93"
"lagarto","SE","264583.20"
"gurupi","TO","263730.32"
"paranavai","PR","262782.41"
"xaxim","SC","262242.00"
"santana do paraiso","MG","261607.05"
"aracruz","ES","260669.83"
"paulista","PE","260150.13"
"sao jose do vale do rio preto","RJ","259702.20"
"estancia velha","RS","259498.16"
"estancia","SE","258951.90"
"descalvado","SP","257683.03"
"caetite","BA","257650.40"
"eusebio","CE","257219.15"
"petrolandia","PE","254315.10"
"itaporanga","SP","251628.48"
"barra do pirai","RJ","251443.76"
"itapiranga","SC","250823.16"
"quarai","RS","249889.15"
"castanhal","PA","249753.24"
"tapiratiba","SP","249504.64"
"casa branca","SP","249074.70"
"querencia","MT","248579.40"
"ponta pora","MS","248407.54"
"paranaiba","MS","248011.52"
"aracuai","MG","247849.68"
"crateus","CE","247366.60"
"camboriu","SC","247160.50"
"porto nacional","TO","246568.02"
"santa helena de goias","GO","246182.56"
"abaete","MG","245298.06"
"santa maria da vitoria","BA","244727.84"
"teodoro sampaio","SP","244669.06"
"itamarandiba","MG","244352.40"
"tucurui","PA","244023.59"
"loanda","PR","243092.01"
"corumba","MS","241485.49"
"itajobi","SP","241381.98"
"mantena","MG","241372.20"
"pirapozinho","SP","240535.44"
"ipameri","GO","240421.09"
"floriano","PI","238459.56"
"balneario picarras","SC","237804.30"
"taquari","RS","237599.22"
"sao miguel arcanjo","SP","236267.28"
"carmo","RJ","235457.28"
"ceres","GO","234918.18"
"buritis","MG","234545.06"
"mirassol d'oeste","MT","233966.38"
"francisco morato","SP","233377.33"
"bocaiuva","MG","233186.40"
"limoeiro do norte","CE","233084.94"
"ipua","SP","232673.76"
"pirai do sul","PR","231536.94"
"sao joao batista","SC","230944.38"
"farroupilha","RS","228723.64"
